name_pt,category_pt,energy_kcal_100g,energy_kj_100g,carbohydrates_100g,proteins_100g,fat_100g,fiber_100g,sugars_100g,sodium_mg_100g,glycemic_index
"Mandioca, frita",,300.0552433891495,1255.4311383402016,,,,,,,
"Manjericão, cru",,21.14767681159422,88.48187977971023,,,,,,,
"Maxixe, cru",,13.747236086956516,57.518435787826064,,,,,,,
"Mostarda, folha, crua",,18.107389052172486,75.76131579428969,,,,,,,
"Nhoque, batata, cozido",,180.7752739934126,756.3637463884384,,,,,,,
"Nabo, cru",,18.18662463768122,76.09283748405822,,,,,,,
"Palmito, juçara, em conserva",,23.199716434081346,97.06761356019635,,,,,,,
"Palmito, pupunha, em conserva",,29.43196333333332,123.14333458666663,,,,,,,
"Pão, de queijo, assado",,363.07791333333336,1519.1179893866667,,,,,,,
"Pão, de queijo, cru",,294.538,1232.346992,,,,,,,
"Pepino, cru",,9.533691304347819,39.88896441739128,,,,,,,
"Pimentão, amarelo, cru",,27.92745942028985,116.84849021449274,,,,,,,
"Pimentão, verde, cru",,21.285881159420292,89.06012677101451,,,,,,,
"Pimentão, vermelho, cru",,23.28136376811601,97.40922600579738,,,,,,,
"Polvilho, doce",,351.2267333333333,1469.5326522666667,,,,,,,
"Quiabo, cru",,29.939262150069077,125.26587283588903,,,,,,,
"Rabanete, cru",,13.738126086956488,57.48031954782595,,,,,,,
"Repolho, branco, cru",,17.11880289855071,71.62507132753618,,,,,,,
"Repolho, roxo, cru",,30.907502954324087,129.316992360892,,,,,,,
"Repolho, roxo, refogado",,41.77352528971434,174.7804298121648,,,,,,,
"Rúcula, crua",,13.133256607294062,54.94954564491835,,,,,,,
"Salsa, crua",,33.424111594202884,139.84648291014489,,,,,,,
"Seleta de legumes, enlatada",,56.533772463768145,236.53730398840594,,,,,,,
"Serralha, crua",,30.397934166666644,127.18495655333325,,,,,,,
"Taioba, crua",,34.208918333333315,143.1301143066666,,,,,,,
"Tomate, com semente, cru",,15.335156521739158,64.16229488695664,,,,,,,
Descrição dos alimentos,,,,,,,,,,
"Tomate, extrato",,60.93343365217388,254.94548640069553,,,,,,,
"Tomate, molho industrializado",,38.446549460490566,160.86036294269255,,,,,,,
"Tomate, purê",,27.93687971014494,116.88790470724643,,,,,,,
"Tomate, salada",,20.546909166666637,85.96826795333321,,,,,,,
"Vagem, crua",,24.898357971014487,104.17472975072462,,,,,,,
"Abacate, cru",,96.1547086956522,402.3113011826088,,,,,,,
"Abacaxi, cru",,48.32221304347824,202.18013937391297,,,,,,,
"Abacaxi, polpa, congelada",,30.591799194335923,127.99608782910151,,,,,,,
"Abiu, cru",,62.42409840854006,261.18242774133165,,,,,,,
"Açaí, polpa, com xarope de guaraná e glucose",,110.29759000000001,461.48511656000005,,,,,,,
"Açaí, polpa, congelada",,58.04536887282133,242.86182336388444,,,,,,,
"Acerola, crua",,33.46227000000003,140.00613768000014,,,,,,,
"Acerola, polpa, congelada",,21.936799999999977,91.78357119999991,,,,,,,
"Ameixa, calda, enlatada",,182.84662000000003,765.0302580800002,,,,,,,
"Ameixa, crua",,52.54248260869565,219.8377472347826,,,,,,,
"Ameixa, em calda, enlatada, drenada",,177.35918531537055,742.0708313595104,,,,,,,
"Atemóia, crua",,96.97158744792144,405.7291218821033,,,,,,,
"Banana, da terra, crua",,128.02445217391306,535.6543078956523,,,,,,,
"Banana, doce em barra",,280.10519255063934,1171.9601256318751,,,,,,,
"Banana, figo, crua",,105.08265000000002,439.6658076000001,,,,,,,
"Banana, maçã, crua",,86.80533043478259,363.19350253913035,,,,,,,
"Banana, nanica, crua",,91.52884782608696,382.95669930434786,,,,,,,
"Banana, ouro, crua",,112.36604782608694,470.1395441043478,,,,,,,
"Banana, pacova, crua",,77.90952792507412,325.9734648385101,,,,,,,
"Banana, prata, crua",,98.24970217391306,411.0767538956523,,,,,,,
"Cacau, cru",,74.29148000000004,310.83555232000015,,,,,,,
"Cajá-Manga, cru",,45.58096877372266,190.71077334925562,,,,,,,
"Cajá, polpa, congelada",,26.332269311050553,110.17421479743551,,,,,,,
"Caju, cru",,43.065068521739114,180.18424669495647,,,,,,,
"Caju, polpa, congelada",,36.568679999999965,153.00335711999986,,,,,,,
Descrição dos alimentos,,,,,,,,,,
"Caju, suco concentrado, envasado",,45.10862666666668,188.7344939733334,,,,,,,
"Caqui, chocolate, cru",,71.35001811164616,298.5284757791276,,,,,,,
"Carambola, crua",,45.740888793428724,191.3798787117058,,,,,,,
"Ciriguela, crua",,75.59411,316.28575624,,,,,,,
"Cupuaçu, cru",,49.42255877437193,206.78398591197217,,,,,,,
"Cupuaçu, polpa, congelada",,48.79688999999999,204.16618775999996,,,,,,,
"Figo, cru",,41.447126086956516,173.41477554782608,,,,,,,
"Figo, enlatado, em calda",,184.36071739130435,771.3652415652174,,,,,,,
"Fruta-pão, crua",,67.04561999999997,280.5188740799999,,,,,,,
"Goiaba, branca, com casca, crua",,51.73774782608695,216.47073690434783,,,,,,,
"Goiaba, doce em pasta",,268.9598260869565,1125.3279123478262,,,,,,,
"Goiaba, doce, cascão",,285.58779243900375,1194.8993235647918,,,,,,,
"Goiaba, vermelha, com casca, crua",,54.16993043478262,226.6469889391305,,,,,,,
"Graviola, crua",,61.62189837666358,257.82602280796044,,,,,,,
"Graviola, polpa, congelada",,38.27386999999997,160.13787207999988,,,,,,,
"Jabuticaba, crua",,58.05315000000004,242.89437960000018,,,,,,,
"Jaca, crua",,87.92034999999997,367.85874439999986,,,,,,,
"Jambo, cru",,26.91229999999998,112.60106319999993,,,,,,,
"Jamelão, cru",,41.00970891670385,171.5846221074889,,,,,,,
"Kiwi, cru",,51.136330434782636,213.95440653913056,,,,,,,
"Laranja, baía, crua",,45.43811739130433,190.11308316521732,,,,,,,
"Laranja, baía, suco",,36.64948260869561,153.34143523478244,,,,,,,
"Laranja, da terra, crua",,51.471128639280764,215.35520222675072,,,,,,,
"Laranja, da terra, suco",,40.95600731086733,171.35993458866892,,,,,,,
"Laranja, lima, crua",,45.701038780629624,191.21314625815435,,,,,,,
"Laranja, lima, suco",,39.336093944132394,164.58221706224995,,,,,,,
"Laranja, pêra, crua",,36.77376521739132,153.8614336695653,,,,,,,
"Laranja, pêra, suco",,32.70975362318838,136.85760915942018,,,,,,,
"Laranja, valência, crua",,46.109628783385006,192.92268682968287,,,,,,,
"Laranja, valência, suco",,36.19635058768591,151.44553085887787,,,,,,,
"Limão, cravo, suco",,14.103733399311682,59.010020542720085,,,,,,,
"Limão, galego, suco",,22.22504347826089,92.98958191304357,,,,,,,
Descrição dos alimentos,,,,,,,,,,
"Limão, tahiti, cru",,31.818153430163903,133.12715395180578,,,,,,,
"Maçã, Argentina, com casca, crua",,62.531818366289116,261.63312804455364,,,,,,,
"Maçã, Fuji, com casca, crua",,55.51520000000005,232.27559680000022,,,,,,,
"Macaúba, crua",,404.2818766666667,1691.5153719733335,,,,,,,
"Mamão, doce em calda, drenado",,195.62747482178608,818.505354654353,,,,,,,
"Mamão, Formosa, cru",,45.34074782608691,189.70568890434765,,,,,,,
"Mamão, Papaia, cru",,40.156768942296566,168.01592125456884,,,,,,,
"Mamão verde, doce em calda, drenado",,209.3762544589043,876.0302486560556,,,,,,,
"Manga, Haden, crua",,63.50031833879153,265.6853319295038,,,,,,,
"Manga, Palmer, crua",,72.48673809168733,303.2845121756198,,,,,,,
"Manga, polpa, congelada",,48.30588,202.11180192,,,,,,,
"Manga, Tommy Atkins, crua",,50.69218260869563,212.09609203478254,,,,,,,
"Maracujá, cru",,68.43950869565214,286.3509043826086,,,,,,,
"Maracujá, polpa, congelada",,38.75969999999999,162.17058479999994,,,,,,,
"Maracujá, suco concentrado, envasado",,41.96731999999999,175.59126687999995,,,,,,,
"Melancia, crua",,32.60662608695646,136.42612354782582,,,,,,,
"Melão, cru",,29.369391304347808,122.88153321739124,,,,,,,
"Mexerica, Murcote, crua",,57.592778474648775,240.96818513793048,,,,,,,
"Mexerica, Rio, crua",,36.871350000000064,154.26972840000028,,,,,,,
"Morango, cru",,30.147917391304354,126.13888636521742,,,,,,,
"Nêspera, crua",,42.539198868195214,177.98400806452878,,,,,,,
"Pequi, cru",,204.96677,857.5809656800001,,,,,,,
"Pêra, Park, crua",,60.58859,253.50266056000004,,,,,,,
"Pêra, Williams, crua",,53.309047826086925,223.0450561043477,,,,,,,
"Pêssego, Aurora, cru",,36.327599024534216,151.99467431865116,,,,,,,
"Pêssego, enlatado, em calda",,63.142434782608696,264.1879471304348,,,,,,,
"Pinha, crua",,88.4735276668668,370.1732397581707,,,,,,,
"Pitanga, crua",,41.41552999999997,173.28257751999988,,,,,,,
"Pitanga, polpa, congelada",,19.10545950235922,79.93724255787099,,,,,,,
"Romã, crua",,55.73900000000001,233.21197600000005,,,,,,,
"Tamarindo, cru",,275.69564269441366,1153.510569033427,,,,,,,
"Tangerina, Poncã, crua",,37.83059999999995,158.21512215652163,,,,,,,
Descrição dos alimentos,,,,,,,,,,
"Tangerina, Poncã, suco",,36.10879999999999,150.98142274782617,,,,,,,
"Tucumã, cru",,262.01519507239266,1096.2715761828908,,,,,,,
"Umbu, cru",,37.016689999999976,154.8778309599999,,,,,,,
"Umbu, polpa, congelada",,33.943290000000005,142.01872536000002,,,,,,,
"Uva, Itália, crua",,52.873100000000065,221.16109186086976,,,,,,,
"Uva, Rubi, crua",,49.061289999999964,205.27243735999986,,,,,,,
"Uva, suco concentrado, envasado",,57.655359999999995,241.23002624,,,,,,,
"Azeite, de dendê",,884.0,3698.656,,,,,,,
"Azeite, de oliva, extra virgem",,884.0,3698.656,,,,,,,
